timestamp,request_type,trigger,improvement_item,owner,status
2026-04-27T02:39:14,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-27T02:51:09,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-27T02:51:09,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-27T02:51:15,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-27T02:51:15,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-27T02:59:37,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-27T02:59:37,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:40:39,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:40:39,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:42:05,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:42:05,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:44:07,Bad Debt,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:44:07,Bad Debt,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:44:42,AI Governance,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:44:42,AI Governance,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:48:13,Bad Debt,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:48:13,Bad Debt,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:49:13,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:49:13,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:50:42,Workflow Issue,Missing context,Add or refresh SOP coverage for this scenario.,Ops Excellence,Open
2026-04-29T12:50:42,Workflow Issue,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:50:42,Workflow Issue,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:51:23,Workflow Issue,Missing context,Add or refresh SOP coverage for this scenario.,Ops Excellence,Open
2026-04-29T12:51:23,Workflow Issue,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:51:23,Workflow Issue,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:52:01,Workflow Issue,Missing context,Add or refresh SOP coverage for this scenario.,Ops Excellence,Open
2026-04-29T12:52:01,Workflow Issue,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:52:01,Workflow Issue,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T12:52:28,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T12:52:28,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-04-29T13:05:02,Refund Approval,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-04-29T13:05:02,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T14:48:33,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T14:49:26,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T14:49:30,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T14:55:20,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T14:55:31,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T14:58:42,Marketing Cloud,Low confidence,Review agent reasoning and enrich request classification examples.,Ops Excellence,Open
2026-07-30T14:58:42,Marketing Cloud,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T15:01:24,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
2026-07-30T15:02:02,Refund Approval,High risk,Confirm governance review path and threshold policy language.,Ops Excellence,Open
